n,bucket_mean_count,bucket_cv_count_pct,bucket_mean_time_ns,bucket_cv_time_pct,selection_mean_count,selection_cv_count_pct,selection_mean_time_ns,selection_cv_time_pct
1000,9923.575,1.6437153558114068,56402.5,21.352927813916146,499500.0,0.0,176777.5,3.268269075938256
2000,26527.35,1.368911531716287,124802.5,23.005008747941364,1999000.0,0.0,618540.0,3.4632389267832226
3000,47373.15,1.1557582560568924,188055.0,14.40609573801988,4498500.0,0.0,1349675.0,2.049953167809516
4000,71185.9,1.0119427953355447,196362.5,7.643916907505832,7998000.0,0.0,2324697.5,2.5264792842686985
5000,98994.15,1.034343307095984,264782.5,18.490841358160758,12497500.0,0.0,3567397.5,4.24558851396081
6000,128355.45,0.9086364563946906,350490.0,88.80987084814863,17997000.0,0.0,5040242.5,5.66021881297675
7000,161011.5,0.6045919708720618,364370.0,14.486847574976796,24496500.0,0.0,6793427.5,9.568837888923762
8000,195231.1,0.6056962530855291,434432.5,12.333202980162806,31996000.0,0.0,8895362.5,8.881799982435325
9000,233106.05,0.6800137113057781,538950.0,37.74986526616565,40495500.0,0.0,11188605.0,7.905844391389724
10000,269409.825,0.5919139750424612,587257.5,8.93397797885798,49995000.0,0.0,14528415.0,13.348882130893541
11000,311640.35,0.6110272393023883,675937.5,5.9145316113389725,60494500.0,0.0,16934647.5,10.364050843668938
12000,353459.025,0.5651370194375853,772872.5,9.442179578306769,71994000.0,0.0,20260940.0,12.948947723095028
